year,event_id,knet_station,hinet_station,series,seconds_relative_to_theoretical_p,value
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-1.511763572692871,-1.5405902854219388e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-1.4717633724212646,-5.057492294116337e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-1.4317634105682373,-4.985503661792889e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-1.39176344871521,9.693032315221852e-06
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-1.3517634868621826,5.407020193636459e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-1.3117635250091553,1.3319078922952269e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-1.271763563156128,-5.317044270450097e-06
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-1.2317636013031006,2.377495017344079e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-1.1917634010314941,2.29947224400349e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-1.1517634391784668,-2.780656587816847e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-1.1117634773254395,-9.727098482879998e-06
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-1.071763515472412,-1.1669360681996978e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-1.0317635536193848,-4.061439513652932e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-0.9917635917663574,8.904940155098625e-06
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-0.951763391494751,3.3956158166363e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-0.9117634296417236,-8.026623485368932e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-0.8717634677886963,6.12291584207802e-06
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-0.831763505935669,1.802768312572798e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-0.7917635440826416,2.816029108324605e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-0.7517635822296143,1.2330702800920729e-05
