year,event_id,path,size_bytes,catalog_event,outer_tar_valid,outer_member_count,has_knet_product,has_kiknet_product,has_image_product,product_class,error
2000,20000918152400,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000918152400.tar,1177600,1,1,2,1,0,1,knet_only,
2000,20000922074300,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000922074300.tar,7014400,1,1,3,1,1,1,both,
2000,20000924024200,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000924024200.tar,4352000,1,1,3,1,1,1,both,
2000,20000924210300,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000924210300.tar,471040,1,1,2,1,0,1,knet_only,
2000,20000925111500,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000925111500.tar,10547200,1,1,3,1,1,1,both,
2000,20000925112300,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000925112300.tar,6594560,1,1,3,1,1,1,both,
2000,20000925125200,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000925125200.tar,2836480,1,1,2,0,1,1,kiknet_only,
2000,20000927061400,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000927061400.tar,7680000,1,1,3,1,1,1,both,
2000,20000927105600,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000927105600.tar,4444160,1,1,3,1,1,1,both,
2000,20000929085600,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000929085600.tar,17530880,1,1,3,1,1,1,both,
2000,20000929095600,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000929095600.tar,6021120,1,1,3,1,1,1,both,
2000,20000929112900,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000929112900.tar,819200,1,1,2,0,1,1,kiknet_only,
2000,20000929191400,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000929191400.tar,6635520,1,1,3,1,1,1,both,
2000,20000930232400,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000930232400.tar,1935360,1,1,3,1,1,1,both,
2000,20001001033000,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001001033000.tar,471040,1,1,2,1,0,1,knet_only,
2000,20001003053000,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001003053000.tar,4239360,1,1,3,1,1,1,both,
2000,20001003115900,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001003115900.tar,491520,1,1,2,1,0,1,knet_only,
2000,20001003131300,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001003131300.tar,51312640,1,1,3,1,1,1,both,
2000,20001003131800,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001003131800.tar,9410560,1,1,3,1,1,1,both,
2000,20001004200000,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001004200000.tar,15708160,1,1,3,1,1,1,both,
2000,20001006132400,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001006132400.tar,716800,1,1,2,0,1,1,kiknet_only,
2000,20001006133000,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001006133000.tar,143165440,1,1,3,1,1,1,both,
2000,20001006135600,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001006135600.tar,1208320,1,1,2,1,0,1,knet_only,
2000,20001006140000,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001006140000.tar,921600,1,1,2,1,0,1,knet_only,
2000,20001006144300,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001006144300.tar,12687360,1,1,3,1,1,1,both,
2000,20001006145200,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001006145200.tar,13885440,1,1,3,1,1,1,both,
2000,20001006162100,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001006162100.tar,6952960,1,1,3,1,1,1,both,
2000,20001006162500,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001006162500.tar,2508800,1,1,3,1,1,1,both,
2000,20001006163800,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001006163800.tar,2713600,1,1,3,1,1,1,both,
2000,20001006165400,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001006165400.tar,1689600,1,1,3,1,1,1,both,
2000,20001006170500,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001006170500.tar,1474560,1,1,3,1,1,1,both,
2000,20001006173300,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001006173300.tar,747520,1,1,2,1,0,1,knet_only,
2000,20001006185400,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001006185400.tar,3072000,1,1,3,1,1,1,both,
2000,20001006195700,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001006195700.tar,6451200,1,1,3,1,1,1,both,
2000,20001006200400,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001006200400.tar,901120,1,1,2,1,0,1,knet_only,
2000,20001006212900,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001006212900.tar,5724160,1,1,3,1,1,1,both,
2000,20001006225700,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001006225700.tar,6789120,1,1,3,1,1,1,both,
2000,20001006231300,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001006231300.tar,10362880,1,1,3,1,1,1,both,
2000,20001007042600,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001007042600.tar,696320,1,1,2,1,0,1,knet_only,
2000,20001007045600,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001007045600.tar,5447680,1,1,3,1,1,1,both,
2000,20001007045900,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001007045900.tar,16803840,1,1,2,0,1,1,kiknet_only,
2000,20001007062200,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001007062200.tar,7587840,1,1,3,1,1,1,both,
2000,20001007063800,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001007063800.tar,10496000,1,1,3,1,1,1,both,
2000,20001007074900,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001007074900.tar,9533440,1,1,3,1,1,1,both,
2000,20001007081700,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001007081700.tar,1689600,1,1,3,1,1,1,both,
2000,20001007081900,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001007081900.tar,9758720,1,1,3,1,1,1,both,
2000,20001007082400,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001007082400.tar,2068480,1,1,3,1,1,1,both,
2000,20001007083000,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001007083000.tar,4638720,1,1,3,1,1,1,both,
2000,20001007102700,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001007102700.tar,6983680,1,1,3,1,1,1,both,
2000,20001007120300,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001007120300.tar,11192320,1,1,3,1,1,1,both,
